# q intensity propagated_error
1.577151337494335503e-02 8.171789292423341233e-03 9.218166102378504839e-04
1.588273175427041412e-02 8.957782549355280954e-03 9.187594165527552918e-04
1.599395013359746973e-02 8.299724459177044988e-03 9.095612890989594268e-04
1.610516851292452534e-02 9.500199718043660091e-03 9.163878823080931837e-04
1.621638689225158442e-02 1.045662885229730471e-02 9.188630461322336816e-04
1.632760527157864003e-02 9.852741998166922310e-03 9.110643854919942865e-04
1.643882365090569564e-02 9.554015538952166653e-03 9.035913859367820196e-04
1.655004203023275472e-02 6.671741630290425884e-03 8.699790204190621656e-04
1.666126040955981033e-02 7.958271637450525793e-03 8.766251799761871823e-04
1.677247878888686594e-02 7.860422972506504735e-03 8.717846663115428468e-04
1.688369716821392502e-02 8.777291488441182898e-03 8.783013294821618829e-04
1.699491554754098063e-02 9.852292268978442291e-03 8.811988479487265630e-04
1.710613392686803624e-02 9.376966201659772682e-03 8.718478677358475074e-04
1.721735230619509532e-02 8.346318584281926800e-03 8.565687973699394331e-04
1.732857068552215093e-02 9.239614455177597163e-03 8.640076703591202884e-04
1.743978906484920655e-02 7.734260805692734497e-03 8.425764770019197793e-04
1.755100744417626563e-02 9.429644435801090574e-03 8.533379833059053605e-04
1.766222582350332124e-02 6.906860603397679821e-03 8.253432405197165317e-04
1.777344420283037685e-02 5.785158474322482647e-03 8.127836199603765202e-04
1.788466258215743593e-02 8.170467539531357792e-03 8.332384554503070601e-04
1.799588096148449154e-02 7.843962229543012532e-03 8.211440707046593554e-04
1.810709934081154715e-02 9.571959433986754195e-03 8.377799554733989440e-04
1.821831772013860623e-02 7.365643314803278774e-03 8.094200878573916489e-04
1.832953609946566184e-02 8.413741338752979415e-03 8.185322481595702204e-04
1.844075447879271745e-02 8.439527852800332575e-03 8.151071013240761103e-04
1.855197285811977653e-02 7.802489414070842844e-03 8.062636570819996934e-04
1.866319123744683214e-02 7.023534702271100327e-03 7.993830065113594584e-04
1.877440961677388775e-02 6.808949072508556355e-03 7.970062588485772896e-04
1.888562799610094683e-02 8.199425820500906570e-03 7.996180919979477665e-04
1.899684637542800245e-02 7.614662760133748820e-03 7.871618906129538087e-04
1.910806475475505806e-02 8.255335020299417459e-03 7.951850627354363227e-04
1.921928313408211714e-02 7.275589128522226556e-03 7.785151009828496010e-04
1.933050151340917275e-02 6.723712705952039626e-03 7.700483204113962648e-04
1.944171989273622836e-02 7.445394293285570453e-03 7.764423764601150520e-04
1.955293827206328744e-02 5.704523375991893408e-03 7.574449994343009649e-04
1.966415665139034305e-02 7.415213026446890177e-03 7.692136358825534632e-04
1.977537503071739866e-02 6.226855670531324799e-03 7.544649588698020730e-04
1.988659341004445774e-02 7.261527035104041461e-03 7.637133080041147914e-04
1.999781178937151335e-02 7.439360746659393064e-03 7.582310367349074862e-04
2.010903016869856896e-02 6.328988036594738326e-03 7.500847016534820978e-04
2.022024854802562804e-02 6.624491725896464178e-03 7.676107736246305614e-04
2.033146692735268365e-02 6.494863655703668470e-03 7.744365023391215630e-04
2.044268530667973927e-02 7.651226265200802845e-03 7.888256546100125147e-04
2.055390368600679835e-02 6.158184542679041168e-03 7.824227064278455393e-04
2.066512206533385396e-02 5.228712248698731690e-03 7.819338301662163244e-04
2.077634044466090957e-02 6.834377239470678517e-03 7.898093047814230133e-04
2.088755882398796865e-02 6.178325478605879023e-03 7.798743937420905348e-04
2.099877720331502426e-02 7.432972200163621285e-03 7.952243479728243573e-04
2.110999558264207987e-02 6.016178208506542391e-03 7.814748902587076744e-04
2.122121396196913895e-02 6.919072704215756958e-03 7.874135611258990461e-04
2.133243234129619456e-02 5.748938899157396420e-03 7.750154704697008413e-04
2.144365072062325017e-02 6.903636077110971575e-03 7.815611755294668908e-04
2.155486909995030925e-02 6.180472746879783069e-03 7.777819190413690076e-04
2.166608747927736486e-02 6.314955036918847020e-03 7.762961457353491313e-04
2.177730585860442047e-02 5.684591510159337641e-03 7.720552521884631531e-04
2.188852423793147955e-02 5.704861593507776218e-03 7.694641292385435635e-04
2.199974261725853517e-02 6.974060007145978929e-03 7.769214116968937772e-04
2.211096099658559078e-02 7.520447587280224000e-03 7.631847002622150523e-04
2.222217937591264986e-02 5.781000056762249095e-03 7.365315918909373172e-04
2.233339775523970547e-02 5.784361681687177209e-03 7.272567889252436191e-04
2.244461613456676108e-02 4.755033791386253927e-03 7.111138209585126302e-04
2.255583451389382016e-02 4.612670696800200143e-03 7.014773122531176150e-04
2.266705289322087577e-02 5.041828509538572728e-03 7.020830985719910032e-04
2.277827127254793138e-02 6.257651796083212731e-03 7.100461368133323490e-04
2.288948965187499046e-02 6.205742189768496259e-03 7.076951598918853692e-04
2.300070803120204607e-02 6.037928387283536535e-03 7.046395806119960499e-04
2.311192641052910168e-02 5.261583944577017530e-03 6.893255384080698277e-04
2.322314478985616076e-02 4.507080804910464783e-03 6.834760505547639612e-04
2.333436316918321637e-02 7.070701317324755431e-03 7.088834155532089181e-04
2.344558154851027199e-02 4.759468586777861748e-03 6.814948067797078641e-04
2.355679992783733107e-02 6.544023719952579699e-03 6.942254655237009965e-04
2.366801830716438668e-02 5.982078347502379351e-03 6.848250435952403905e-04
2.377923668649144229e-02 5.522339287019392001e-03 6.780412525536478035e-04
2.389045506581850137e-02 5.262805954581967899e-03 6.781302556192238002e-04
2.400167344514555698e-02 5.792183862091408036e-03 6.787765226182302346e-04
2.411289182447261259e-02 5.470609239347997560e-03 6.719265475913120201e-04
2.422411020379967167e-02 4.067460799297123453e-03 6.592639212124660033e-04
2.433532858312672728e-02 5.049436034669847750e-03 6.658314503206697261e-04
2.444654696245378289e-02 5.060907686405467093e-03 6.584991664938766266e-04
