# q intensity propagated_error
1.577151337494335503e-02 3.729485855821521728e-02 2.295309481513696525e-04
1.588273175427041412e-02 3.653371191382039085e-02 2.261590981485014798e-04
1.599395013359746973e-02 3.678123827497934567e-02 2.256237415291203791e-04
1.610516851292452534e-02 3.625093732193476748e-02 2.237232200562862348e-04
1.621638689225158442e-02 3.577140119629540482e-02 2.218730068266213621e-04
1.632760527157864003e-02 3.624240900682221267e-02 2.224201779427023226e-04
1.643882365090569564e-02 3.591179289998239904e-02 2.201127243456512859e-04
1.655004203023275472e-02 3.541729302307855543e-02 2.184726237359181308e-04
1.666126040955981033e-02 3.515200047936030414e-02 2.172119174696084554e-04
1.677247878888686594e-02 3.506600509938345017e-02 2.158005413176433934e-04
1.688369716821392502e-02 3.472449430055560976e-02 2.145279639562336295e-04
1.699491554754098063e-02 3.443279976275438053e-02 2.129921690779777298e-04
1.710613392686803624e-02 3.436271850487071511e-02 2.117277955138343183e-04
1.721735230619509532e-02 3.393940706120104206e-02 2.102289681496443503e-04
1.732857068552215093e-02 3.382459084091762186e-02 2.095423266293877423e-04
1.743978906484920655e-02 3.375048933475659901e-02 2.081579375156968493e-04
1.755100744417626563e-02 3.331041679474418954e-02 2.061649747745112715e-04
1.766222582350332124e-02 3.318233711142908049e-02 2.055378027524546185e-04
1.777344420283037685e-02 3.332407205568439779e-02 2.052449495741367038e-04
1.788466258215743593e-02 3.335616586714505727e-02 2.044170029978770707e-04
1.799588096148449154e-02 3.301648901084355131e-02 2.030963007600495370e-04
1.810709934081154715e-02 3.307422539497495428e-02 2.028207789565012842e-04
1.821831772013860623e-02 3.277991309243920293e-02 2.008846799222745660e-04
1.832953609946566184e-02 3.245301286790974737e-02 2.000959027463828700e-04
1.844075447879271745e-02 3.235463961704408697e-02 1.991282555167336345e-04
1.855197285811977653e-02 3.242332483247226810e-02 1.984419174183006088e-04
1.866319123744683214e-02 3.255171094444023888e-02 1.986311915405144905e-04
1.877440961677388775e-02 3.254824158002782297e-02 1.981885174458744992e-04
1.888562799610094683e-02 3.191690402653684505e-02 1.953586580499063093e-04
1.899684637542800245e-02 3.160390156785423954e-02 1.938428072214546966e-04
1.910806475475505806e-02 3.177409807003840625e-02 1.943247917708179411e-04
1.921928313408211714e-02 3.159969522089215582e-02 1.930391505436750664e-04
1.933050151340917275e-02 3.142778789326095001e-02 1.918752051724674100e-04
1.944171989273622836e-02 3.131220586091312125e-02 1.912300897196684863e-04
1.955293827206328744e-02 3.139014642020170054e-02 1.910549924445262629e-04
1.966415665139034305e-02 3.101873614954797631e-02 1.890324231817787110e-04
1.977537503071739866e-02 3.094572768156375955e-02 1.889243575139325844e-04
1.988659341004445774e-02 3.099594230271344314e-02 1.887125402681263302e-04
1.999781178937151335e-02 3.071073916121994790e-02 1.865728361349288744e-04
2.010903016869856896e-02 3.092539027041097885e-02 1.872933853060830165e-04
2.022024854802562804e-02 3.102629948429986434e-02 1.908717182976776676e-04
2.033146692735268365e-02 3.088271145803121731e-02 1.931789640718714466e-04
2.044268530667973927e-02 3.046940563659458756e-02 1.934720825409890247e-04
2.055390368600679835e-02 3.070439604426635286e-02 1.957821606390708151e-04
2.066512206533385396e-02 3.095909114484783620e-02 1.978329360617146846e-04
2.077634044466090957e-02 3.000628774266314233e-02 1.947605218664420540e-04
2.088755882398796865e-02 2.988056229711781239e-02 1.950335144475347574e-04
2.099877720331502426e-02 2.990048207217998674e-02 1.952574061637229932e-04
2.110999558264207987e-02 3.014528331061486210e-02 1.957270486931948804e-04
2.122121396196913895e-02 2.969471726765224653e-02 1.943946232702236493e-04
2.133243234129619456e-02 2.983666243191300527e-02 1.954377936628903377e-04
2.144365072062325017e-02 2.939211382874103509e-02 1.933673684914465919e-04
2.155486909995030925e-02 2.956302595836996297e-02 1.940944245614394873e-04
2.166608747927736486e-02 2.924994488533309150e-02 1.931730884312859368e-04
2.177730585860442047e-02 2.954204062617962409e-02 1.938236945847920847e-04
2.188852423793147955e-02 2.923374492028740779e-02 1.927006239333242720e-04
2.199974261725853517e-02 2.924625263560992269e-02 1.911514943433182605e-04
2.211096099658559078e-02 2.928474912556702087e-02 1.865491039001763508e-04
2.222217937591264986e-02 2.956322881189227259e-02 1.844537352383755302e-04
2.233339775523970547e-02 2.917428037456134063e-02 1.815363628992198346e-04
2.244461613456676108e-02 2.920864933260835378e-02 1.803988412350620413e-04
2.255583451389382016e-02 2.902543058785277130e-02 1.783319973688640356e-04
2.266705289322087577e-02 2.897257297099610149e-02 1.777894508722180345e-04
2.277827127254793138e-02 2.870785365837756967e-02 1.764210353265673113e-04
2.288948965187499046e-02 2.887027044749223073e-02 1.759873193819912391e-04
2.300070803120204607e-02 2.896199714479254228e-02 1.758234622905344396e-04
2.311192641052910168e-02 2.839783054473631399e-02 1.737470846650607714e-04
2.322314478985616076e-02 2.880213602368852585e-02 1.743309661970973928e-04
2.333436316918321637e-02 2.872525750569631525e-02 1.734178793411172927e-04
2.344558154851027199e-02 2.865715471233240899e-02 1.729944339349223279e-04
2.355679992783733107e-02 2.840557934808504714e-02 1.715293468247247187e-04
2.366801830716438668e-02 2.830128959434436223e-02 1.705261215256666458e-04
2.377923668649144229e-02 2.806441132757528725e-02 1.696273014080344570e-04
2.389045506581850137e-02 2.830370277438848045e-02 1.702076651020530953e-04
2.400167344514555698e-02 2.825365268219138734e-02 1.691072523869850013e-04
2.411289182447261259e-02 2.816278630566206378e-02 1.685772108867217094e-04
2.422411020379967167e-02 2.836178542886195336e-02 1.690767607345032965e-04
2.433532858312672728e-02 2.827969585172446926e-02 1.680415176112114194e-04
2.444654696245378289e-02 2.791816151889203387e-02 1.660565369914264065e-04
