# q intensity propagated_error
1.577151337494335503e-02 4.546664785063855851e-02 8.927829561271510362e-04
1.588273175427041412e-02 4.549149446317567180e-02 8.904891508766492325e-04
1.599395013359746973e-02 4.508096273415639066e-02 8.811331714819058050e-04
1.610516851292452534e-02 4.575113703997842757e-02 8.886589174980231553e-04
1.621638689225158442e-02 4.622803004859270953e-02 8.916735200672506025e-04
1.632760527157864003e-02 4.609515100498913498e-02 8.834973565075573227e-04
1.643882365090569564e-02 4.546580843893456569e-02 8.763719423397178972e-04
1.655004203023275472e-02 4.208903465336898131e-02 8.421004741996378131e-04
1.666126040955981033e-02 4.311027211681082993e-02 8.492883427184542196e-04
1.677247878888686594e-02 4.292642807188995491e-02 8.446529647038127000e-04
1.688369716821392502e-02 4.350178578899679266e-02 8.516988775681966217e-04
1.699491554754098063e-02 4.428509203173282283e-02 8.550706085099762238e-04
1.710613392686803624e-02 4.373968470653048779e-02 8.457482161272323294e-04
1.721735230619509532e-02 4.228572564548296886e-02 8.303697282406916720e-04
1.732857068552215093e-02 4.306420529609521902e-02 8.382131398338594228e-04
1.743978906484920655e-02 4.148475014044933351e-02 8.164590575443314525e-04
1.755100744417626563e-02 4.274006123054528011e-02 8.280590057047955985e-04
1.766222582350332124e-02 4.008919771482676031e-02 7.993407760844430760e-04
1.777344420283037685e-02 3.910923053000688043e-02 7.864424477037108450e-04
1.788466258215743593e-02 4.152663340667641506e-02 8.077747288239334232e-04
1.799588096148449154e-02 4.086045124038656384e-02 7.956314960275279570e-04
1.810709934081154715e-02 4.264618482896170848e-02 8.128585273074819288e-04
1.821831772013860623e-02 4.014555640724248170e-02 7.840958002690697143e-04
1.832953609946566184e-02 4.086675420666272679e-02 7.936980981338372272e-04
1.844075447879271745e-02 4.079416746984441955e-02 7.904097193758437799e-04
1.855197285811977653e-02 4.022581424654311094e-02 7.814613810947977591e-04
1.866319123744683214e-02 3.957524564671133921e-02 7.743118498682139642e-04
1.877440961677388775e-02 3.935719065253637933e-02 7.719716887272562011e-04
1.888562799610094683e-02 4.011632984703775162e-02 7.753864119104604720e-04
1.899684637542800245e-02 3.921856432798798836e-02 7.629212332356897228e-04
1.910806475475505806e-02 4.002943309033782371e-02 7.710753266061546370e-04
1.921928313408211714e-02 3.887528434941438238e-02 7.542026576562249835e-04
1.933050151340917275e-02 3.815150059921298964e-02 7.457602305087311775e-04
1.944171989273622836e-02 3.875760015419869170e-02 7.525249608809255744e-04
1.955293827206328744e-02 3.709466979619359395e-02 7.329535572122221647e-04
1.966415665139034305e-02 3.843394917599486649e-02 7.456248122304423706e-04
1.977537503071739866e-02 3.717258335209508435e-02 7.304279302575715678e-04
1.988659341004445774e-02 3.825746933781748460e-02 7.400308060940022315e-04
1.999781178937151335e-02 3.815009990787934097e-02 7.349182824536764280e-04
2.010903016869856896e-02 3.725437830700571717e-02 7.263251664889358063e-04
2.022024854802562804e-02 3.765079121019632852e-02 7.435013698297372915e-04
2.033146692735268365e-02 3.737757511373488578e-02 7.499558546977087240e-04
2.044268530667973927e-02 3.812063190179539041e-02 7.647316304744871188e-04
2.055390368600679835e-02 3.686258058694539402e-02 7.575319380127623885e-04
2.066512206533385396e-02 3.618780339354656789e-02 7.564936511085936996e-04
2.077634044466090957e-02 3.684066498213382085e-02 7.654195431537046687e-04
2.088755882398796865e-02 3.605888777572369142e-02 7.550933705554806977e-04
2.099877720331502426e-02 3.733345427234360803e-02 7.708802169903042432e-04
2.110999558264207987e-02 3.616146151912140450e-02 7.565671989418460515e-04
2.122121396196913895e-02 3.661378997186800349e-02 7.630405275531554430e-04
2.133243234129619456e-02 3.558560133107040169e-02 7.499686981971669109e-04
2.144365072062325017e-02 3.629574990585200667e-02 7.572627891938803592e-04
2.155486909995030925e-02 3.574349870524974604e-02 7.531746596519551390e-04
2.166608747927736486e-02 3.556489992225193852e-02 7.518775590410162494e-04
2.177730585860442047e-02 3.522663213633896173e-02 7.473297049156367401e-04
2.188852423793147955e-02 3.493860651379518401e-02 7.449439681751491822e-04
2.199974261725853517e-02 3.622031264275590162e-02 7.530391664205856976e-04
2.211096099658559078e-02 3.680519671284724487e-02 7.400339982381676576e-04
2.222217937591264986e-02 3.534422886865452168e-02 7.130607305202058032e-04
2.233339775523970547e-02 3.495864205624851784e-02 7.042350360378125951e-04
2.244461613456676108e-02 3.396368312399460770e-02 6.878510917627901405e-04
2.255583451389382016e-02 3.363810128465297145e-02 6.784306289668011079e-04
2.266705289322087577e-02 3.401440148053467422e-02 6.791992258969405984e-04
2.277827127254793138e-02 3.496550545446078240e-02 6.877798591830379914e-04
2.288948965187499046e-02 3.507601263726072699e-02 6.854640054380260012e-04
2.300070803120204607e-02 3.499992553207607882e-02 6.823511183204866411e-04
2.311192641052910168e-02 3.365941448931333152e-02 6.670694480126994818e-04
2.322314478985616076e-02 3.330921682859899063e-02 6.608692956301758480e-04
2.333436316918321637e-02 3.579595882302107068e-02 6.873441175795521035e-04
2.344558154851027199e-02 3.341662329911027074e-02 6.591722821047978249e-04
2.355679992783733107e-02 3.494960306803762684e-02 6.727010332677382234e-04
2.366801830716438668e-02 3.428336794184674158e-02 6.632542364829918831e-04
2.377923668649144229e-02 3.358675061459467925e-02 6.564804024352497054e-04
